"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,937.2,26046.2,21555.6,-4490.6,-17.24,0.84,""
"HDFCBANK",6,716.85,966,4301.1,5796,1494.9,34.76,0.27,""
"IRFC",27,146.85,124.57,3964.95,3363.39,-601.56,-15.17,0.9,""
"JPASSOCIAT",30,16.25,3.43,487.61,102.9,-384.71,-78.9,-4.99,""
"JSWENERGY",1,728.7,510.2,728.7,510.2,-218.5,-29.98,1.21,""
"NHPC",13,89.95,78.61,1169.35,1021.93,-147.42,-12.61,0.95,""
"TATAMOTORS",10,769,719.35,7690,7193.5,-496.5,-6.46,3.97,""
"TATASTEEL",30,164.85,168.82,4945.5,5064.6,119.1,2.41,0.68,""
"UJJIVANSFB",6,44.82,44.17,268.92,265.02,-3.9,-1.45,3.76,""
"VIKASLIFE",159,4.94,2.26,785.36,359.34,-426.02,-54.25,0,""
