"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,986.7,26046.2,22694.1,-3352.1,-12.87,0.51,""
"HDFCBANK",6,716.85,967.05,4301.1,5802.3,1501.2,34.9,-0.03,""
"IRFC",27,146.85,128.18,3964.95,3460.86,-504.09,-12.71,1.54,""
"JPASSOCIAT",30,16.25,3.26,487.61,97.8,-389.81,-79.94,-4.96,""
"JSWENERGY",1,728.7,531.95,728.7,531.95,-196.75,-27,1.14,""
"NHPC",13,89.95,86.61,1169.35,1125.93,-43.42,-3.71,3.72,""
"TATAMOTORS",10,769,712.9,7690,7129,-561,-7.3,-0.33,""
"TATASTEEL",30,164.85,169.2,4945.5,5076,130.5,2.64,-0.35,""
"UJJIVANSFB",6,44.82,46.72,268.92,280.32,11.4,4.24,0.21,""
"VIKASLIFE",159,4.94,2.23,785.36,354.57,-430.79,-54.85,-0.45,""
