"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1060.7,26046.2,24396.1,-1650.1,-6.34,0.12,""
"HDFCBANK",6,716.85,982.3,4301.1,5893.8,1592.7,37.03,0.88,""
"IRFC",27,146.85,127.08,3964.95,3431.16,-533.79,-13.46,1.47,""
"JPASSOCIAT-BE",30,16.25,3.52,487.61,105.6,-382.01,-78.34,4.76,""
"JSWENERGY",1,728.7,548.25,728.7,548.25,-180.45,-24.76,1.34,""
"NHPC",13,89.95,86.46,1169.35,1123.98,-45.37,-3.88,-0.17,""
"TATAMOTORS",10,769,698.05,7690,6980.5,-709.5,-9.23,-2.05,""
"TATASTEEL",30,164.85,171.43,4945.5,5142.9,197.4,3.99,0.81,""
"UJJIVANSFB",6,44.82,48.42,268.92,290.52,21.6,8.03,-0.96,""
"VIKASLIFE",159,4.94,2.18,785.36,346.62,-438.74,-55.86,0,""
