Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,23,1132.44,1009.4,26046.2,23216.2,-2830,-10.87,-2.05
HDFCBANK,6,716.85,999.05,4301.1,5994.3,1693.2,39.37,0.09
IRFC,27,146.85,116.85,3964.95,3154.95,-810,-20.43,-1.89
JPASSOCIAT,30,16.25,3.15,487.61,94.5,-393.11,-80.62,4.65
JSWENERGY,1,728.7,480.9,728.7,480.9,-247.8,-34.01,-0.76
NHPC,13,89.95,76.96,1169.35,1000.48,-168.87,-14.44,-2.36
TATASTEEL,30,164.85,165.3,4945.5,4959,13.5,0.27,-1.61
TMCV,10,239.54,320.6,2395.44,3206,810.57,33.84,-1.08
TMPV,10,529.46,358.25,5294.57,3582.5,-1712.06,-32.34,-1.1
UJJIVANSFB,6,44.82,53.82,268.92,322.92,54,20.08,-0.63
VIKASLIFE,159,4.94,1.83,785.36,290.97,-494.39,-62.95,-3.68
