"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1048.55,26046.2,24116.65,-1929.55,-7.41,1.66,""
"HDFCBANK",6,716.85,1007.6,4301.1,6045.6,1744.5,40.56,-0.19,""
"IRFC",27,146.85,117.57,3964.95,3174.39,-790.56,-19.94,-0.33,""
"JSWENERGY",1,728.7,488.5,728.7,488.5,-240.2,-32.96,0.07,""
"NHPC",13,89.95,76.73,1169.35,997.49,-171.86,-14.7,-0.3,""
"TATASTEEL",30,164.85,167.96,4945.5,5038.8,93.3,1.89,-0.1,""
"TMCV",10,239.54,352,2395.44,3520,1124.57,46.95,2.36,""
"TMPV",10,529.46,356.85,5294.57,3568.5,-1726.06,-32.6,-0.31,""
"UJJIVANSFB",6,44.82,54.46,268.92,326.76,57.84,21.51,-0.31,""
"VIKASLIFE",159,4.94,1.89,785.36,300.51,-484.85,-61.74,0,""
