Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,5,1840,1903.1,9515.5,315.5,3.43,-4.16
HDFCBANK,3,1433.7,1732,5196,894.9,20.81,-1.19
IRFC,27,146.85,158.72,4285.44,320.49,8.08,1.22
JPASSOCIAT,30,16.25,6.47,194.1,-293.51,-60.19,-4.99
JSWENERGY,1,728.7,733.05,733.05,4.35,0.6,-0.98
NHPC,13,89.95,94.95,1234.35,65,5.56,-0.41
RHFL,75,2.65,5.28,396,196.89,98.89,-5.04
RPOWER,55,17.09,48.67,2676.85,1736.9,184.79,4.98
SUZLON,131,47.41,80.05,10486.55,4275.96,68.85,-1.28
TATASTEEL,30,164.85,168.55,5056.5,111,2.24,1.2
UJJIVANSFB,6,44.82,40.42,242.52,-26.4,-9.82,-1.27
VIKASLIFE,154,5.03,4.47,688.38,-85.58,-11.06,-1.54
ZOMATO,30,127.85,273.3,8199,4363.5,113.77,-1.78
