Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,5,1840,1632.65,8163.25,-1036.75,-11.27,2.15
HDFCBANK,3,1433.7,1737.8,5213.4,912.3,21.21,0.16
IRFC,27,146.85,158.11,4268.97,304.02,7.67,1.38
JPASSOCIAT,30,16.25,7.41,222.3,-265.31,-54.41,0
JSWENERGY,1,728.7,682.35,682.35,-46.35,-6.36,0.49
NHPC,13,89.95,84.13,1093.69,-75.66,-6.47,1.89
RHFL,75,2.65,4.3,322.5,123.39,61.97,0
RPOWER,55,17.09,43.08,2369.4,1429.45,152.08,1.13
SUZLON,131,47.41,68.14,8926.34,2715.75,43.73,1.76
TATASTEEL,30,164.85,149.75,4492.5,-453,-9.16,0.8
UJJIVANSFB,6,44.82,38.88,233.28,-35.64,-13.25,2.07
VIKASLIFE,154,5.03,4.67,719.18,-54.78,-7.08,0.86
ZOMATO,30,127.85,249.05,7471.5,3636,94.8,3
