"Instrument","Qty.","Avg. cost","LTP","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",5,1840,1324.55,6622.75,-2577.25,-28.01,21.72,""
"HDFCBANK",3,1433.7,1797.65,5392.95,1091.85,25.39,0.26,""
"IRFC",27,146.85,149.34,4032.18,67.23,1.7,-2.65,""
"JPASSOCIAT",30,16.25,6.05,181.5,-306.11,-62.78,0,""
"JSWENERGY",1,728.7,654.7,654.7,-74,-10.16,-1.3,""
"NHPC",13,89.95,81.45,1058.85,-110.5,-9.45,-2.51,""
"RHFL",75,2.65,2.37,177.75,-21.36,-10.73,4.87,""
"RPOWER",55,17.09,38.76,2131.8,1191.85,126.8,-3.05,""
"SUZLON",131,47.41,63,8253,2042.41,32.89,-1.16,""
"TATASTEEL",30,164.85,144.55,4336.5,-609,-12.31,0.77,""
"UJJIVANSFB",6,44.82,35.63,213.78,-55.14,-20.5,-0.7,""
"VIKASLIFE",154,5.03,4.29,660.66,-113.3,-14.64,-0.46,""
"ZOMATO",30,127.85,279.76,8392.8,4557.3,118.82,-2.23,""
