"Instrument","Qty.","Avg. cost","LTP","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",5,1840,996.5,4982.5,-4217.5,-45.84,0,""
"HDFCBANK",3,1433.7,1690.95,5072.85,771.75,17.94,0,""
"IRFC",27,146.85,141.35,3816.45,-148.5,-3.75,0,""
"JPASSOCIAT",30,16.25,5.16,154.8,-332.81,-68.25,0,""
"JSWENERGY",1,728.7,472,472,-256.7,-35.23,0,""
"NHPC",13,89.95,78.89,1025.57,-143.78,-12.3,0,""
"RHFL",75,2.65,3.59,269.25,70.14,35.23,0,""
"RPOWER",55,17.09,39.1,2150.5,1210.55,128.79,0,""
"SUZLON",131,47.41,58.16,7618.96,1408.37,22.68,0,""
"TATAMOTORS",10,769,706.55,7065.5,-624.5,-8.12,0,""
"TATASTEEL",30,164.85,132.97,3989.1,-956.4,-19.34,0,""
"UJJIVANSFB",6,44.82,36.68,220.08,-48.84,-18.16,0,""
"VIKASLIFE",154,5.03,3.87,595.98,-177.98,-23,0,""
