Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,5,1840,1014.35,5071.75,-4128.25,-44.87,-0.48
HDFCBANK,3,1433.7,1944.9,5834.7,1533.6,35.66,0.9
IRFC,27,146.85,138.95,3751.65,-213.3,-5.38,-0.72
JPASSOCIAT,30,16.25,2.77,83.1,-404.51,-82.96,0
JSWENERGY,1,728.7,488.15,488.15,-240.55,-33.01,-2.53
NHPC,13,89.95,87.41,1136.33,-33.02,-2.82,0.38
RHFL,75,2.65,5.09,381.75,182.64,91.73,4.95
RPOWER,55,17.09,58.16,3198.8,2258.85,240.32,11.35
SUZLON,131,47.41,71.48,9363.88,3153.29,50.77,9.26
TATAMOTORS,10,769,719.5,7195,-495,-6.44,-0.68
TATASTEEL,30,164.85,161,4830,-115.5,-2.34,-1.3
UJJIVANSFB,6,44.82,43.03,258.18,-10.74,-3.99,-1.33
VIKASLIFE,154,5.03,2.87,441.98,-331.98,-42.89,-4.01
