Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,5,1840,913.5,4567.5,-4632.5,-50.35,-0.83
HDFCBANK,6,716.85,951.6,5709.6,1408.5,32.75,-0.65
IRFC,27,146.85,118.11,3188.97,-775.98,-19.57,-0.4
JPASSOCIAT,30,16.25,3.79,113.7,-373.91,-76.68,0
JSWENERGY,1,728.7,488.45,488.45,-240.25,-32.97,-1.85
NHPC,13,89.95,77.29,1004.77,-164.58,-14.07,-1.37
TATAMOTORS,10,769,669,6690,-1000,-13,-0.95
TATASTEEL,30,164.85,154.48,4634.4,-311.1,-6.29,0.55
UJJIVANSFB,6,44.82,42.73,256.38,-12.54,-4.66,0.75
VIKASLIFE,159,4.94,2.23,354.57,-430.79,-54.85,0
