"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIGREEN",23,1132.44,1070.1,26046.2,24612.3,-1433.9,-5.51,0.51,""
"HDFCBANK",6,716.85,965.15,4301.1,5790.9,1489.8,34.64,-0.01,""
"IRFC",27,146.85,125.85,3964.95,3397.95,-567,-14.3,0.24,""
"JPASSOCIAT-BE",30,16.25,3.2,487.61,96,-391.61,-80.31,4.92,""
"JSWENERGY",1,728.7,540.7,728.7,540.7,-188,-25.8,0.77,""
"NHPC",13,89.95,86.91,1169.35,1129.83,-39.52,-3.38,0.58,""
"TATAMOTORS",10,769,716.1,7690,7161,-529,-6.88,-0.31,""
"TATASTEEL",30,164.85,173.21,4945.5,5196.3,250.8,5.07,3.4,""
"UJJIVANSFB",6,44.82,48.3,268.92,289.8,20.88,7.76,0.15,""
"VIKASLIFE",159,4.94,2.2,785.36,349.8,-435.56,-55.46,0,""
